시군구,법정동,지번,거래건수,주용도,건물유형,전용면적_최소,전용면적_최대,층_최저,층_최고,평당가_평균,지산후보,단지명,유형확정
화성시 동탄구,반송동,106-7,1,제2종근린생활,집합,45.3,45.3,2,2,1022,,,
,반송동,42-3,1,제2종근린생활,집합,67.1,67.1,6,6,1005,,,
화성시 동탄구,반송동,42-3,1,제2종근린생활,집합,67.1,67.1,6,6,1005,,,
,장지동,1011,1,제2종근린생활,집합,42.9,42.9,1,1,1669,,,
화성시 동탄구,장지동,1011,1,제2종근린생활,집합,42.9,42.9,1,1,1669,,,
,청계동,535-1,1,제1종근린생활,집합,53.4,53.4,1,1,7119,,,
화성시 동탄구,청계동,535-1,1,제1종근린생활,집합,53.4,53.4,1,1,7119,,,
,청계동,534-2,1,제1종근린생활,집합,31.5,31.5,1,1,2830,,,
화성시 동탄구,청계동,534-2,1,제1종근린생활,집합,31.5,31.5,1,1,2830,,,
,영천동,658-1,1,제1종근린생활,집합,81.3,81.3,4,4,1065,,,
화성시 동탄구,영천동,658-1,1,제1종근린생활,집합,81.3,81.3,4,4,1065,,,
,산척동,728-6,1,제2종근린생활,집합,59.9,59.9,9,9,1682,,,
화성시 동탄구,산척동,728-6,1,제2종근린생활,집합,59.9,59.9,9,9,1682,,,
,반송동,212,1,제2종근린생활,집합,27.7,27.7,2,2,1720,,,
화성시 동탄구,반송동,212,1,제2종근린생활,집합,27.7,27.7,2,2,1720,,,
,청계동,535-7,1,제2종근린생활,집합,66.1,66.1,4,4,1865,,,
화성시 동탄구,청계동,535-7,1,제2종근린생활,집합,66.1,66.1,4,4,1865,,,
,산척동,723,1,제1종근린생활,집합,121.9,121.9,3,3,1302,,,
화성시 동탄구,산척동,723,1,제1종근린생활,집합,121.9,121.9,3,3,1302,,,
,영천동,678-5,1,제1종근린생활,집합,38.4,38.4,1,1,2583,,,
화성시 동탄구,영천동,678-5,1,제1종근린생활,집합,38.4,38.4,1,1,2583,,,
,반송동,221-2,1,제2종근린생활,집합,37.4,37.4,1,1,6534,,,
화성시 동탄구,반송동,221-2,1,제2종근린생활,집합,37.4,37.4,1,1,6534,,,
,여울동,981-1,1,제2종근린생활,집합,29.8,29.8,1,1,5733,,,
화성시 동탄구,여울동,981-1,1,제2종근린생활,집합,29.8,29.8,1,1,5733,,,
,반송동,90-9,1,제2종근린생활,집합,236.2,236.2,4,4,700,,,
화성시 동탄구,반송동,90-9,1,제2종근린생활,집합,236.2,236.2,4,4,700,,,
,반송동,93-6,1,판매,집합,81.1,81.1,1,1,1064,,,
화성시 동탄구,반송동,93-6,1,판매,집합,81.1,81.1,1,1,1064,,,
,반송동,220-5,1,교육연구,집합,114.7,114.7,5,5,1205,,,
화성시 동탄구,반송동,220-5,1,교육연구,집합,114.7,114.7,5,5,1205,,,
,석우동,53,1,제1종근린생활,집합,32.8,32.8,2,2,2520,,,
화성시 동탄구,석우동,53,1,제1종근린생활,집합,32.8,32.8,2,2,2520,,,
,장지동,969,1,제2종근린생활,집합,39.9,39.9,1,1,2479,,,
화성시 동탄구,장지동,969,1,제2종근린생활,집합,39.9,39.9,1,1,2479,,,
,영천동,720,1,제2종근린생활,집합,65.4,65.4,1,1,2529,,,
화성시 동탄구,영천동,720,1,제2종근린생활,집합,65.4,65.4,1,1,2529,,,
,금곡동,4**,1,제2종근린생활,일반,396.0,396.0,,,519,,,
화성시 동탄구,금곡동,4**,1,제2종근린생활,일반,396.0,396.0,,,519,,,
,산척동,699,1,제1종근린생활,집합,45.1,45.1,,,3258,,,
화성시 동탄구,산척동,699,1,제1종근린생활,집합,45.1,45.1,,,3258,,,
,장지동,964,1,제2종근린생활,집합,39.7,39.7,,,2916,,,
화성시 동탄구,장지동,964,1,제2종근린생활,집합,39.7,39.7,,,2916,,,
,여울동,1091,1,판매,집합,31.6,31.6,,,1833,,,
화성시 동탄구,여울동,1091,1,판매,집합,31.6,31.6,,,1833,,,
,반송동,88-3,1,제2종근린생활,집합,128.9,128.9,2,2,1308,,,
화성시 동탄구,반송동,88-3,1,제2종근린생활,집합,128.9,128.9,2,2,1308,,,
,반송동,90-3,1,제1종근린생활,집합,26.7,26.7,4,4,1859,,,
화성시 동탄구,반송동,90-3,1,제1종근린생활,집합,26.7,26.7,4,4,1859,,,
,장지동,971-6,1,제2종근린생활,집합,75.6,75.6,3,3,2274,,,
화성시 동탄구,장지동,971-6,1,제2종근린생활,집합,75.6,75.6,3,3,2274,,,
,목동,487-5,1,제2종근린생활,집합,49.2,49.2,7,7,1546,,,
화성시 동탄구,목동,487-5,1,제2종근린생활,집합,49.2,49.2,7,7,1546,,,
,신동,874,1,제2종근린생활,집합,81.0,81.0,1,1,1346,,,
화성시 동탄구,신동,874,1,제2종근린생활,집합,81.0,81.0,1,1,1346,,,
,산척동,718,1,제2종근린생활,집합,32.8,32.8,1,1,5308,,,
화성시 동탄구,산척동,718,1,제2종근린생활,집합,32.8,32.8,1,1,5308,,,
,장지동,971-3,1,제2종근린생활,집합,102.0,102.0,5,5,2254,,,
화성시 동탄구,장지동,971-3,1,제2종근린생활,집합,102.0,102.0,5,5,2254,,,
,반송동,93-2,1,제2종근린생활,집합,130.3,130.3,6,6,812,,,
화성시 동탄구,반송동,93-2,1,제2종근린생활,집합,130.3,130.3,6,6,812,,,
,청계동,531-4,1,제1종근린생활,집합,43.3,43.3,1,1,1985,,,
화성시 동탄구,청계동,531-4,1,제1종근린생활,집합,43.3,43.3,1,1,1985,,,
,영천동,681-1,1,제2종근린생활,집합,110.3,110.3,2,2,1858,,,
화성시 동탄구,영천동,681-1,1,제2종근린생활,집합,110.3,110.3,2,2,1858,,,
,영천동,848-1,1,제2종근린생활,집합,60.7,60.7,1,1,3810,,,
화성시 동탄구,영천동,848-1,1,제2종근린생활,집합,60.7,60.7,1,1,3810,,,
,목동,485,1,제1종근린생활,집합,43.7,43.7,1,1,2293,,,
,능동,9**,1,제1종근린생활,일반,86.9,86.9,,,2474,,,
화성시 동탄구,목동,485,1,제1종근린생활,집합,43.7,43.7,1,1,2293,,,
화성시 동탄구,능동,9**,1,제1종근린생활,일반,86.9,86.9,,,2474,,,
,영천동,675-6,1,제2종근린생활,집합,46.7,46.7,1,1,566,,,
화성시 동탄구,영천동,675-6,1,제2종근린생활,집합,46.7,46.7,1,1,566,,,
화성시 동탄구,반송동,216-2,1,교육연구,집합,100.4,100.4,5,5,823,,,
