id,상태,현안명,분류,단계,최근진전일,진전내용,중요도,출처,키워드,메모,확인필요,추가일,마지막발행일,위도,경도
A001,활성,트램,교통,착공준비,2026-09-08,[의회] 동탄트램 1단계는 입찰자 기술제안서 접수 상태에서 3주간 적격심사를 진행하고 10월 중 우선시공분 및 실시설계 착수 예정이며 2027년 하반기,상,뉴스,트램|도시철도,심의 통과시 10월 계약·연내 우선시공분 착공,회의록 반영,2026-09-16,2026-09-17,37.2007,127.0966
A002,활성,고려대병원 건립,의료,계획,2026-03-18,화성시·LH·고려대의료원 컨소시엄 업무협약,상,뉴스,고려대|의과대학 부속|의료복합,700병상 상급종합·개원목표 2035 · 화성시 고시로는 안 잡힘(LH 소관) · 부지좌표 확인(Plus Code 54P2+JC7),,2026-09-16,,37.186537,127.101047
A003,활성,유통3부지 용도전환,개발,심의 전,2026-09-04,[의회] 회의록에 논의 없음,상,뉴스,유통3|유통 3|장지동 1131|유통업무설비,물류센터 포기·용도변경 검토설 · 아직 고시 전 단계,회의록 반영 · 단계 확인,2026-09-16,,37.1820,127.1150
A004,활성,GTX-A,교통,공사중,2026-06-30,삼성~동탄 공정률 97.7%,중,뉴스,GTX|광역급행|복합환승센터,삼성역 제외구간 2026년·전구간 2028년 · 국가철도공단 소관,,2026-09-16,,37.2007,127.0966
A005,활성,용인 반도체 국가산단,산업,보상·수용,2026-01-15,국가산단 지정 무효확인소송 1심 원고 패소,상,뉴스,용인 반도체|용인 국가산단|첨단시스템반도체,2026-12 착공목표·용인시 고시라 화성시 수집으로는 안 잡힘 · 부지좌표 확인(Plus Code 46X4+XF) · 동탄역에서 남동 11km,,2026-09-16,,37.149938,127.206187
A006,활성,용인반도체 연결도로,교통,공사중,2026-09-14,1공구(화성 중동 ~ 용인 서리) 56% 진행 / 2공구(용인 서리 ~ 처인구 이동읍) 답보 상태,상,직접,국지도 84|지방도 84|중동~서리|서리~이동|84호선,27년1월 2공구 공사 재개여부 · 경기도 소관,단계 확인,2026-09-16,,,
A007,활성,동탄 주택공급,개발,결정,2026-09-17,주택건설사업계획 변경(2차) 승인 고시[상신3지구],상,직접,주택건설사업계획|공동주택|민간임대리츠|입주자모집|분양승인,배후 주거 공급이 임차 기업 인력 확보에 주는 영향으로 각도를 틀 것,역행(공사중 → 결정),2026-09-17,,37.2050,127.0850
A008,활성,동탄 상권 변화,개발,심의 전,2026-07-29,준대규모점포 개설계획 예고 [GS THE FRESH 동탄호수공원점],중,직접,준대규모점포|대규모점포|상업용지|전통상업보존구역,대형점포 진입이 인근 근린상가 임차 수요에 주는 영향,,2026-09-17,,37.1880,127.1260
A009,활성,화성 산업단지 조성,산업,결정,2026-09-09,화성 동방 일반산업단지계획(변경) 승인 고시,상,직접,일반산업단지|산업단지계획|산업단지 투자의향|관리기본계획,주곡·동방·무송 등 화성시 소관 산단 · 지산 수요와 직결,,2026-09-17,,,
