출처,계획명,계획기간,단위,사업명,사업개요,총사업비,기투자,향후,이후,y1,y2,y3,y4,y5,기준연도,행,수집일
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,자치분권발전위원회 운영(자체/직접),"2026.01~2030.12 경기도의회 및 경기도민 자치분권발전위원회의 개최(전 체회의 2회, 각 4개 분과위원회 회의 8회), 토론회 1회 자치분권 발전 제도개선 방안 모 색 및 관계기관 건의 등 추진으 로 자치분권 실현 선도",2,0,2,0,0,0,0,0,0,2026,2465,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,경기도의회 소통활 성화 운영 지원(자 체/직접),"2026.01. ~ 2030.12. 경기도 의회사무처 소통위원회 회의진행(4 회) 및 연찬회 추친 소통위원회 운영비용( 참석수당 및 물품구입, 실비지원 등)",1,0,1,0,0,0,0,0,0,2026,2518,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,감사위원회 운영(자 체/직접),2026.1.~2030.12. 경기도 감사위원회 운영 제반 경비 경기도감사위원회 운영,51,0,51,0,10,10,10,10,10,2026,2536,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,위원회 운영 및 도 정감시 활동 강화( 자체/직접),2026.1.~2030.12. 경기도민 정례회 18회 도민권익위원회 운영 및 고충민원 조사 처리 등,37,0,37,0,7,7,7,8,8,2026,2552,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,자 소  계 2026 2027 2028 2029 2030 광역행정 강화(자체 /직접),"2025.1.~2029.12. 시도지사협의회 및 한국지 방행정연구원 분담금 및 출연금(연 1회) 광역현안 상생협력 체계 구 축을 위한 시도지사협의회 분담금, 한국지방행정연구 원 출연금",34,0,34,0,7,7,7,7,7,2026,2595,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,회계계약관리(자체/ 직접),"기간:2026.01.~ 2030.12. 공무원 500직위 등 통합결산 관리, 회계· 계약업무 관리, 물품 관 리 등",33,0,33,0,6,6,7,7,7,2026,2612,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,대민활동비(자체/직 접),"2026.01.~2030.12. 공무원 4,000명 공무원 대민활동비 지 급",129,0,129,0,24,25,26,27,28,2026,2625,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,공유재산관리(자체/ 직접),"기간:'26.1.~30.12. 대상:경기도 도유재산 규모: 토지132,669필지 등 내용:공유재산 관리, 처 분 등",172,0,172,0,33,34,34,35,35,2026,2639,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,안정적 청사 운영( 자체/직접),"기간:'26. 1. ~ '30. 12. 대상:경기도민 및 직원 규모:경기도청사, 경기융합 타운 지하주차장(4,071면) 등 내용:경기융합타운 통합운 영, 시설물 관리 등",527,0,527,0,103,104,105,106,107,2026,2689,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,차량유지관리(자체/ 직접),기간:'26. 1 ~ '30.12. 대상:공용차량 규모:공용차량 200대 내용:공용차량 유지관 리비 지출,186,0,186,0,36,37,37,38,38,2026,2702,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,친환경 자동차 등 구매(국비/직접),기간:2026.1.~2030.12. 대상:친환경 공용차량 규모:친환경 자동차 4대 내용:친환경 자동차 등 구매,3,0,3,0,3,0,0,0,0,2026,2713,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,설비·전기 관리(자 체/직접),"기간:'26.1.~'30.12. 대상:청사 기계 및 전기 설비 규모:경기도청사, 옛청 사 내용:기계, 전기설비 유 지관리",296,0,296,0,59,59,59,60,60,2026,2724,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,옛청사 석면해체 및 개보수 공사(자체/ 직접),"기간: '25.1.~27.6 대상: 경기도 옛청사 신관, 구관 규모: 신관(4,630㎡), 구관( 9,174㎡) 내용: 내진보강 및 노후설 비, 마감재 교체 등",154,0,154,0,54,100,0,0,0,2026,2738,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,북부청사 광장 운영 (자체/직접),기간:2026.1.~2030.12. 대상 : 경기도민 규모 : 도민 전체 내용 : 각종 문화 행사 ·전시 및 공연 운영,52,0,52,0,10,10,10,10,10,2026,2781,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,청사시설 유지보수( 자체/직접),"2026.1.1.~2030.12.31. 경기도청 북부청사 건축면적 38,981㎡(9동) 시설물 수선 등 건물 유 지",263,0,263,0,50,51,53,54,56,2026,2795,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,공용차량 운행(자체 /직접),2026.1.1.~2030.12.31. 경기도청 북부청사 직 원 업무지원 차량 99대 공용차량 운영 및 유지 관리,95,0,95,0,19,19,19,19,19,2026,2807,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,남북교류협력 및 통 일정책 활성화(자체 /직접),"2026.01~2030.12 국내, 북한 등 10,344백만원 남북교류협력사업 추진 및 통일기반 구축사업 등",103,0,103,0,14,17,20,24,29,2026,2824,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,자 소  계 2026 2027 2028 2029 2030 공감 평화통일교육 추진(자체/직접),"2026.01~2030.12 성인, 학생, 청소년 등 도민 및 민간 통일교육 단체 등 7,471백만원 문화예술 활용 평화통 일 감성교육 등",75,0,75,0,10,12,14,17,21,2026,2863,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,북한이탈주민 정착 지원 및 인식개선 사업(자체/직접),"기간: 2026.01~2030.12 대상: 도내 북한이탈주 민 규모: 4,600백만원 내용 : 도내 북한이탈주 민 정착 지원",46,0,46,0,6,7,9,11,13,2026,2877,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,동반성장 활성화(자 체/직접),"2025.1.~2029.12. 도내 대중소기업 착한기업 13개사 선정, 상 생ㆍ경기도형 납품대금 연 동제 우수기업 20개사 선정 등 착한기업 선정, 납품대금 연동제 우수기업 선정 등",49,0,49,0,9,10,10,10,10,2026,2891,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,소비자권익 활성화 지원(자체/직접),기간:2026.1.~2030.12. 대상:도내 소비자단체 등 규모:민간공모 지원단 체 선정 내용:소비자권익 활성 화 지원사업,30,0,30,0,6,6,6,6,6,2026,2906,2026-09-20
경기도_중기지방재정계획_2026-2030.pdf,중기지방재정계획,2026~2030,억원,착한가격업소 활성 화 지원(국비/지원),"2025.1.~2029.12. 31개 시군 지정 착한가 격업소 착한가격업소 700여개소 착한가격업소 지정, 관 리 및 인센터브 지원 Y 행 정안 전부",49,0,49,0,9,10,10,10,10,2026,2919,2026-09-20
